year,month,total_order
2001,1,41
2001,2,43
2001,3,31
2001,4,38
2001,5,23
2001,6,32
2001,7,31
2001,8,38
2001,9,39
2001,10,36
2001,11,32
2001,12,29
2002,1,28
2002,2,30
2002,3,36
2002,4,29
2002,5,36
2002,6,23
2002,7,29
2002,8,35
2002,9,37
2002,10,26
2002,11,36
2002,12,37
2003,1,29
2003,2,25
2003,3,38
2003,4,34
2003,5,37
2003,6,39
2003,7,36
2003,8,35
2003,9,36
2003,10,25
2003,11,44
2003,12,39
2004,1,25
2004,2,21
2004,3,43
2004,4,33
2004,5,33
2004,6,39
2004,7,33
2004,8,40
2004,9,32
2004,10,36
2004,11,36
2004,12,37
2005,1,24
2005,2,33
2005,3,26
2005,4,33
2005,5,37
2005,6,39
2005,7,33
2005,8,41
2005,9,27
2005,10,32
2005,11,26
2005,12,32
2006,1,29
2006,2,28
2006,3,27
2006,4,27
2006,5,30
2006,6,24
2006,7,37
2006,8,33
2006,9,28
2006,10,24
2006,11,38
2006,12,37
2007,1,33
2007,2,29
2007,3,29
2007,4,33
2007,5,35
2007,6,33
2007,7,44
2007,8,28
2007,9,32
2007,10,28
2007,11,30
2007,12,27
2008,1,35
2008,2,39
2008,3,32
2008,4,26
2008,5,35
2008,6,34
2008,7,29
2008,8,25
2008,9,33
2008,10,29
2008,11,26
2008,12,31
2009,1,30
2009,2,33
2009,3,36
2009,4,34
